"MIBiG entry","Compound name","Class","Order","Enzyme","Module","Nonlinearity","Substrate","Product","Product_ID","Quality","DOI","R_group"
"BGC0000001","Abyssomicin C;Atrop-abyssomicin C","PKS (Type I)",1,"abyB1",1,"","Malonyl-CoA","OC(C)=O","1-1","","10.1002/cbic.201100172",""
"BGC0000001","","",2,"abyB1",2,"","1-1;Malonyl-CoA","OC(/C=C/C)=O","1-2","","",""
"BGC0000001","","",3,"abyB1",3,"","1-2;Malonyl-CoA","C/C=C/C=C/C(O)=O","1-3","","",""
"BGC0000001","","",4,"abyB1",4,"","1-3;Malonyl-CoA","C/C=C/C=C/C=C/C(O)=O","1-4","","",""
"BGC0000001","","",5,"abyB2",5,"{'Inactive': ['DH', 'KR']}","1-4;Methylmalonyl-CoA","C/C=C/C=C/C=C/C([C@H](C)C(O)=O)=O","1-5","","",""
"BGC0000001","","",6,"abyB2",6,"","1-5;Methylmalonyl-CoA","C/C=C/C=C/C=C/C([C@H](C)C[C@H](C)C(O)=O)=O","1-6","","",""
"BGC0000001","","",7,"abyB3",7,"","1-6;Malonyl-CoA","C/C=C/C=C/C=C/C([C@H](C)C[C@H](C)C(CC(O)=O)=O)=O","1-7","","",""
"BGC0000001","","",8,"abyA2;abyA3","","","1,3-BPG","OC(C(O)CO)=O","1-8","","",""
"BGC0000001","","",9,"abyA1?","","","1-7;1-8","C/C=C/C=C/C=C/C([C@H](C)C[C@H](C)C(C(C(C(CO)O)=O)C(O)=O)=O)=O","1-9","","",""
"BGC0000001","","",10,"abyA5?","","","1-9","C/C=C/C=C/C=C/C([C@H](C)C[C@H](C)C(C(C(O)C1CO)C(O1)=O)=O)=O","1-10","","",""
"BGC0000001","","",11,"abyA4?","","","1-10","C/C=C/C=C/C=C/C([C@H](C)C[C@H](C)C(C(C(O)C1=C)C(O1)=O)=O)=O","1-11","","",""
"BGC0000001","","",12,"","","","1-11","C[C@H]1C=C[C@H]2/C=C/C([C@@H](C)C[C@@H](C)C(C(C(C3)=O)=C(O)[C@@]23C1)=O)=O","1-12","","",""
"BGC0000001","","",13,"abyE","","","1-12","C[C@H]1[C@H]2[C@H](O2)[C@H]3/C=C/C([C@@H](C)C[C@@H](C)C(C(C(C4)=O)=C(O)[C@@]34C1)=O)=O","1-13","","",""
"BGC0000001","Atrop-abyssomicin C","",14,"?","","","1-13","C[C@H]1[C@@H]2[C@H](O)[C@H]3/C=C/C([C@@H](C)C[C@@H](C)C(C(C(C4)=O)=C(O2)[C@@]34C1)=O)=O","1(1)","","",""
"BGC0000001","Abyssomicin C","",15,"?","","","1(1)","CC1C[C@]23OC(=O)C4=C2OC1C(O)C3\C=C/C(=O)[C@@H](C)C[C@@H](C)C4=O","1(2)","","",""
"BGC0001511","Ansamitocin P-3","PKS (Unknown)",1,"Start","","","Kanosamine","OC[C@H]1O[C@H](O)[C@H](O)[C@@H](N)[C@@H]1O","1511-1","","10.1039/c2np00019a;10.1073/pnas.092697199",""
"BGC0001511","","",2,"AQZ37109.1;AQZ37110.1","","","20-1","O[C@H]1[C@H](N)[C@@H](O)[C@@H](O)O[C@@H]1CO[R]","1511-2","Low","","R=PO4-"
"BGC0001511","","",3,"?","","","20-2","OC1(CO)C(N)C(O)C(CO[R])C1","1511-3","","","R=PO4-"
"BGC0001511","","",4,"?","","","20-3","O[C@]([H])([C@@]([H])(CO[R])O)C=N","1511-4","","","R=PO4-"
"BGC0001511","","",5,"Start","","","PEP","C=C(C(O)=O)O[R]","1511-5","","","R=PO4-"
"BGC0001511","","",6,"?","","","20-4;20-5","O[C@]([H])([C@@]([H])(CO[R])O)[C@@](N)([H])C([H])([H])C(C(O)=O)=O","1511-6","","",""
